bad,loan,mortdue,value,reason,job,yoj,derog,delinq,clage,ninq,clno,debtinc,exp,di
0,9000,53177,56782,HomeImp,Other,9,0,0,106.5,3,33,40.084,3,C
0,9100,,50391,,,,,,,,,15.025,1,A
0,9100,80719,86782,HomeImp,Other,23,0,0,333.01,1,47,30.395,3,B
0,9100,50606,58822,DebtCon,Other,11,0,0,89.64,0,22,36.302,3,C
1,9100,17218,36721,DebtCon,Other,8,0,1,115.75,3,5,37.479,3,C
0,9100,43249,52946,HomeImp,Mgr,20,1,1,228.4,1,18,35.182,3,C
0,9100,48797,67761,DebtCon,Mgr,7,,3,116.98,3,11,37.797,2,C
1,9100,,11550,HomeImp,Other,,0,0,51.93,1,3,44,1,M
1,9100,78369,92000,DebtCon,Sales,0.2,0,0,180.83,3,35,44,1,M
1,9100,28550,40300,HomeImp,Other,5,0,0,109.54,7,33,23.083,2,A
0,9100,24721,34462,DebtCon,Other,1,0,0,28.1,9,7,27.521,1,B
0,9100,62976,77829,HomeImp,Mgr,0,0,2,131.19,0,23,26.09,1,B
0,9100,46406,56134,HomeImp,Other,9,0,0,93.85,3,34,39.466,3,C
0,9100,,74450,,,,,,,,,23.943,1,A
0,9100,53764,56429,HomeImp,Other,9,0,0,92.08,3,33,40.582,3,C
0,9100,78210,86558,DebtCon,Mgr,8,0,0,92.11,0,23,28.167,3,B
0,9100,59430,76897,HomeImp,Other,5,0,1,246.1,1,16,37.471,2,C
0,9100,47756,84022,HomeImp,Other,18,0,0,206.8,1,17,32.391,3,B
0,9200,71994,95525,DebtCon,Other,16,,,126.82,3,16,25.622,3,B
0,9200,92395,114494,HomeImp,Office,24,0,0,130.38,1,11,39.112,3,C
0,9200,55643,75267,HomeImp,Other,2,0,1,224.88,2,15,35.629,1,C
0,9200,19756,26140,DebtCon,Other,0,1,0,0.49,9,7,27.075,1,B
0,9200,46707,60000,DebtCon,Mgr,4,0,0,192.8,2,17,44,2,M
1,9200,64900,78000,DebtCon,Mgr,10,0,0,122.77,2,24,44,3,M
1,9200,70715,85000,DebtCon,Office,26,0,0,143.07,2,23,44,3,M
0,9200,72859,88183,DebtCon,Mgr,8,0,0,105.66,0,23,29.007,3,B
0,9200,52531,66491,DebtCon,Mgr,11,0,0,122.23,1,19,32.658,3,B
0,9200,57375,69040,DebtCon,Other,0,0,1,116.42,2,18,36.626,1,C
0,9200,48130,62358,DebtCon,Other,15,0,4,219.66,0,36,27.617,3,B
0,9200,69657,89082,DebtCon,,3,0,0,217.32,0,16,28.75,,B
0,9300,79724,105493,DebtCon,Mgr,2,0,0,63.43,2,23,39.386,1,C
0,9300,73252,100537,DebtCon,ProfEx,2,0,0,99.77,0,26,34.515,1,B
0,9300,30204,57036,,Other,30,0,0,235.49,0,19,23.138,3,A
0,9300,75425,109040,DebtCon,Office,2,0,0,235.95,0,38,17.875,1,A
0,9300,,57650,HomeImp,Other,11,1,0,308.34,2,13,31.554,3,B
0,9300,63566,70551,DebtCon,ProfEx,14,0,0,138.34,0,19,42.484,3,D
0,9300,,45906,HomeImp,Other,,,,92.82,,9,36.141,1,C
0,9300,79133,100033,DebtCon,Other,3,0,0,102.16,2,31,40.795,,C
0,9300,46466,57182,DebtCon,Other,2,0,0,100.05,0,20,38.444,1,C
0,9300,59617,67709,HomeImp,Other,4,0,1,243.83,1,16,35.968,2,C
0,9300,,36793,HomeImp,Other,,,,304.52,,11,30.739,1,B
0,9300,58051,65334,DebtCon,Mgr,6,,,113.28,,23,41.86,2,D
0,9300,39307,51680,DebtCon,Office,8,0,0,196.01,0,23,30.732,3,B
1,9300,84900,105798,DebtCon,ProfEx,2,0,0,41.81,1,3,26.957,1,B
1,9300,78000,97700,DebtCon,Mgr,12,0,2,88.5,4,29,44,3,M
1,9300,24000,37125,DebtCon,Office,3.5,1,1,148.03,2,19,44,2,M
0,9300,21138,30700,DebtCon,Other,3,,,,,,44,,M
0,9300,44026,70535,HomeImp,Office,12,3,1,245.9,2,29,44,3,M
0,9300,,55350,HomeImp,Other,9,0,0,308.34,2,13,33.636,3,B
0,9300,81986,94513,DebtCon,Other,2,3,0,,0,4,31.894,1,B
0,9300,54088,66961,DebtCon,Other,22,0,0,278.16,3,28,40.824,3,C
1,9300,38115,60493,DebtCon,Other,14,0,0,91.93,0,18,29.634,3,B
0,9300,53772,71497,HomeImp,Mgr,2,0,2,136.08,0,23,29.687,1,B
0,9300,,44108,HomeImp,Other,,,,290.82,,12,29.744,1,B
0,9300,21979,39880,DebtCon,Other,3,,,,,,38.844,,C
0,9300,106449,120066,DebtCon,Other,18,0,1,189.92,1,15,37.086,3,C
0,9400,52371,55764,DebtCon,Office,1,0,0,177.7,0,20,37.359,1,C
0,9400,49484,59137,DebtCon,Other,10,0,0,102.27,0,22,37.269,3,C
0,9400,,50575,HomeImp,Other,,,,99.07,,8,35.908,1,C
0,9400,57105,67061,HomeImp,Other,6,0,0,129.51,0,34,35.735,2,C
1,9400,52024,89107,HomeImp,Office,0,1,0,148.84,3,26,36.08,1,C
0,9400,85448,94101,DebtCon,Other,2,0,0,104.11,2,32,39.542,1,C
0,9400,56508,78358,DebtCon,,17,0,0,141.93,0,11,32.327,3,B
0,9400,81596,116738,HomeImp,Office,28,0,0,338.63,1,38,34.17,3,B
0,9400,76989,88788,HomeImp,Other,24,0,0,350.64,0,46,30.061,3,B
0,9400,57000,70000,DebtCon,Other,4,0,0,179.57,2,17,44,2,M
0,9400,26700,40150,HomeImp,Other,9,0,0,80.17,0,4,44,3,M
0,9400,,30455,HomeImp,Office,18,0,0,194.61,0,16,39,3,C
0,9400,61185,65302,DebtCon,Other,1,0,2,117.17,2,18,35.612,1,C
0,9400,109991,125146,DebtCon,Self,7,0,1,171.68,0,18,34.813,2,B
0,9400,122412,178547,DebtCon,Other,7,0,0,226.09,0,19,35.463,2,C
0,9400,61213,70800,HomeImp,Other,5,0,0,75.86,3,20,39.404,2,C
0,9400,53756,76077,HomeImp,Office,12,2,0,244.12,2,29,33.375,3,B
0,9400,81546,119128,HomeImp,Office,30,0,0,328.18,2,38,34.15,3,B
0,9400,86539,95010,DebtCon,Other,0,4,0,,0,3,29.815,1,B
0,9400,71600,99682,DebtCon,Other,16,,,159.04,4,16,25.607,3,B
0,9400,77715,101258,DebtCon,Mgr,2,0,0,65.88,1,23,38.108,1,C
0,9400,52598,74747,DebtCon,Mgr,6,,,129.34,,24,42.265,2,D
0,9400,51505,84178,HomeImp,Other,19,0,0,202.7,0,16,35.531,3,C
0,9400,92340,125451,DebtCon,Office,7,0,0,129.11,1,22,36.35,2,C
0,9400,53244,62245,DebtCon,Other,23,0,0,276.79,3,28,37.822,3,C
0,9400,77410,116693,DebtCon,Office,0,0,0,245.08,0,37,17.177,1,A
0,9400,56675,66976,HomeImp,Other,6,0,0,128.07,0,33,35.033,2,C
0,9400,103973,119817,DebtCon,Other,18,0,2,182.62,2,16,37.338,3,C
1,9500,50400,63000,DebtCon,Other,1,0,0,91.27,8,22,44,1,M
1,9500,36114,45654,DebtCon,Office,0,0,0,83.33,0,9,25.343,1,B
0,9500,115186,131800,DebtCon,Self,7,0,0,177.05,0,19,33.431,2,B
0,9500,41541,57280,DebtCon,Other,6,0,0,69.23,1,10,29.16,2,B
0,9500,28750,42408,HomeImp,Office,0,0,0,115.57,1,30,39.05,1,C
0,9500,47019,59413,DebtCon,Other,4,0,0,78.03,0,11,31.418,2,B
0,9500,131394,162449,HomeImp,ProfEx,10,0,0,222.01,0,18,19.551,3,A
0,9500,55862,62965,DebtCon,Other,15,0,4,223.1,0,36,26.141,3,B
0,9500,70000,85000,DebtCon,ProfEx,9,0,1,175.57,1,12,44,3,M
0,9500,35019,52710,DebtCon,Other,12,0,0,241.58,0,31,38.209,3,C
0,9500,21900,35250,HomeImp,Mgr,16,0,0,59.87,1,10,44,3,M
0,9500,59494,75930,HomeImp,Other,0,0,0,99,0,6,36.888,1,C
0,9500,42699,57680,DebtCon,,10,0,0,114.49,1,26,25.075,3,B
0,9500,43210,59692,HomeImp,Other,1,1,,103.09,,13,38.705,1,C
0,9500,58185,64576,DebtCon,Mgr,6,,4,127.86,1,11,38.298,2,C
1,9500,54612,68759,HomeImp,Other,9,0,0,89.1,0,19,31.354,3,B
0,9500,79479,88772,DebtCon,ProfEx,8,0,0,189.59,0,12,37.953,3,C
1,9500,,40000,HomeImp,Other,10,0,0,36.5,1,1,44,3,M
0,9600,62405,69459,DebtCon,Other,0,0,2,86.43,2,18,36.26,1,C
0,9600,45158,55455,DebtCon,Other,15,0,0,82.71,0,12,30.932,3,B
0,9600,64758,63646,HomeImp,Other,5,0,0,120.64,0,34,35.985,2,C
0,9600,53277,60843,DebtCon,Office,0,0,0,180.28,0,21,37.951,1,C
0,9600,84333,201281,HomeImp,Self,14,0,0,13.21,,7,17.826,3,A
0,9600,70589,99384,HomeImp,Other,0,0,1,176.47,0,31,34.235,1,B
1,9600,42357,99756,HomeImp,Office,4,1,4,354.65,0,30,36.525,2,C
0,9600,,68324,HomeImp,Other,,0,0,356.45,0,6,36.554,1,C
0,9600,73000,99600,HomeImp,ProfEx,4.5,0,1,93.33,1,34,44,2,M
0,9600,53196,63942,DebtCon,Other,16,0,4,227.56,0,36,24.017,3,B
0,9600,56224,60260,DebtCon,Other,15,0,3,219.74,0,36,25.439,3,B
0,9600,46683,61773,DebtCon,Office,1,0,0,171.06,1,20,38.005,1,C
0,9600,,56900,,,,,,,,,14.435,1,A
1,9600,24680,43500,DebtCon,Other,18,0,3,114.67,0,19,44,3,M
0,9600,50655,59502,DebtCon,Other,0,0,0,93.43,0,20,37.982,1,C
0,9600,45240,60136,DebtCon,Other,2,0,1,83.07,0,19,38.454,1,C
0,9600,77359,101365,HomeImp,Other,1,0,0,182.8,0,31,33.482,1,B
0,9600,44553,48626,HomeImp,Mgr,20,0,1,226.45,0,18,35.556,3,C
0,9700,75566,92066,DebtCon,Office,14,0,0,94.99,0,8,25.161,3,B
0,9700,29094,51990,,Other,30,0,0,246.2,0,19,20.743,3,A
0,9700,45907,57507,DebtCon,Other,6,0,0,81.23,0,11,29.038,2,B
0,9700,53527,58605,DebtCon,Office,4,0,0,75.58,3,12,36.71,2,C
0,9700,98232,117321,DebtCon,Other,19,0,2,194.42,2,15,36.951,3,C
0,9700,,64644,HomeImp,Other,,0,0,368.07,0,6,36.573,1,C
0,9700,21883,67432,HomeImp,Office,24,0,0,309,1,12,41.414,3,D
0,9700,84933,122520,DebtCon,Office,10,0,0,141.43,1,23,36.795,3,C
1,9700,55986,73000,DebtCon,Other,2.5,0,1,207.17,2,29,44,,M
0,9700,108000,210000,HomeImp,ProfEx,2.3,0,0,124.83,1,15,44,,M
0,9700,5801,58305,HomeImp,Other,8,2,1,352.97,1,22,44,3,M
0,9700,59100,74986,HomeImp,Office,14,0,0,244.53,1,32,44,3,M
1,9700,53000,56000,DebtCon,Office,2,0,0,75.03,5,18,44,1,M
1,9700,73085,92000,DebtCon,Other,8,0,3,173.5,0,34,44,3,M
0,9700,39141,48905,DebtCon,Other,13,0,0,89.84,0,11,32.431,3,B
0,9700,44652,63232,DebtCon,Other,9,0,0,102.17,0,22,37.035,3,C
0,9700,59633,70398,HomeImp,Other,4,0,0,239.04,1,16,38.867,2,C
0,9700,63488,74374,DebtCon,Office,5,0,0,106.59,2,15,26.896,2,B
0,9700,8852,60599,HomeImp,Other,7,2,1,359.1,1,21,16.872,2,A
1,9700,32660,54536,DebtCon,Office,0,0,0,156.48,0,13,67.325,1,E
0,9700,,54385,HomeImp,Other,10,0,0,314.73,1,13,34.17,3,B
0,9700,77394,86917,DebtCon,Office,16,0,1,81.46,0,9,27.706,3,B
1,9700,47000,82000,HomeImp,Other,,1,2,96.63,,8,44,1,M
0,9800,54564,62109,DebtCon,Mgr,10,0,0,124.02,0,19,32.566,3,B
0,9800,15021,31900,DebtCon,Other,6,0,0,276.73,0,11,22.291,2,A
0,9800,136154,203815,DebtCon,ProfEx,1,0,0,70.85,2,23,35.879,1,C
0,9800,79405,111563,DebtCon,Office,0,0,0,240.94,1,38,19.333,1,A
0,9800,58936,78078,DebtCon,,19,0,0,152.14,0,11,32.189,3,B
0,9800,74962,108730,HomeImp,ProfEx,4,0,1,76.39,1,33,37.321,2,C
1,9800,36500,54000,HomeImp,Other,17,0,1,105.67,5,19,44,3,M
0,9800,81199,206201,HomeImp,Self,12,0,0,2.82,,7,21.284,3,A
0,9800,49287,69831,DebtCon,Mgr,2,0,0,182.99,2,16,29.713,1,B
0,9800,62826,65912,HomeImp,Other,6,0,0,132.75,0,34,37.588,2,C
0,9800,49298,73426,HomeImp,Office,9,3,1,242.39,1,29,34.69,3,B
0,9800,69919,100267,DebtCon,Other,16,,,130.89,3,15,26.835,3,B
0,9800,32550,52554,DebtCon,Other,12,0,0,229.51,1,32,37.923,3,C
0,9800,54681,74097,DebtCon,Other,2,0,1,106.89,3,18,36.619,1,C
0,9800,53643,113161,DebtCon,ProfEx,5,0,1,230.3,0,9,23.774,2,A
0,9800,80267,209931,HomeImp,Self,14,0,0,0.51,,8,19.97,3,A
0,9800,78022,103466,DebtCon,Mgr,1,0,0,83.84,2,24,37.435,1,C
0,9800,,45197,HomeImp,Other,,,,316.53,,11,29.647,1,B
0,9800,52973,65481,HomeImp,Other,10,0,0,101.47,2,33,36.878,3,C
0,9800,55330,78154,HomeImp,Mgr,2,0,1,122.71,0,23,28.896,1,B
0,9800,54861,71138,HomeImp,Other,4,0,0,258.33,2,16,36.036,2,C
0,9800,56188,90143,HomeImp,Other,17,0,0,171.41,0,29,25.622,3,B
0,9800,79767,93525,DebtCon,Other,0,4,0,,0,4,31.29,1,B
0,9800,63891,72980,DebtCon,ProfEx,7,0,0,32.41,2,24,39.372,2,C
0,9800,47126,57365,DebtCon,Other,0,0,1,91.14,0,19,38.658,1,C
0,9800,55539,73560,DebtCon,Office,4,0,0,85.9,1,14,26.332,2,B
1,9900,37609,120186,DebtCon,Other,,0,0,176.37,3,30,53.179,1,E
0,9900,60488,75507,HomeImp,Other,3,0,0,239.43,1,17,38.473,,C
0,9900,35448,58056,DebtCon,Other,11,0,0,229.52,1,31,37.297,3,C
0,9900,79379,205346,HomeImp,Self,14,0,0,20.21,,7,19.799,3,A
0,9900,72674,89909,DebtCon,Office,15,0,1,90.96,0,8,27.355,3,B
1,9900,88236,104953,DebtCon,ProfEx,1,0,0,51.65,0,2,28.623,1,B
0,9900,73804,97413,DebtCon,ProfEx,5,0,0,107.33,0,25,33.525,2,B
0,9900,28432,36605,HomeImp,Office,0,0,0,111.53,1,29,37.588,1,C
0,9900,52800,66000,HomeImp,Other,29,1,3,188.93,1,24,44,3,M
0,9900,111000,134347,DebtCon,ProfEx,16,,1,180.63,1,33,44,3,M
1,9900,21400,36600,DebtCon,Self,2,0,0,154.2,2,26,44,1,M
0,9900,8673,37244,DebtCon,Other,4,0,0,256.68,0,12,24.496,2,B
0,9900,117003,219783,HomeImp,ProfEx,1,0,0,130.77,0,14,25.623,1,B
1,9900,71371,84865,DebtCon,Mgr,0,2,0,94.81,0,12,38.211,1,C
0,9900,55231,78708,DebtCon,Office,4,0,0,85.8,2,15,24.595,2,B
0,9900,47367,114837,DebtCon,ProfEx,4,0,0,210.44,0,10,25.042,2,B
0,9900,108155,219936,HomeImp,ProfEx,2,0,0,126.94,1,15,27.992,1,B
0,9900,74009,108371,DebtCon,Office,1,0,0,246.09,0,36,17.257,1,A
0,9900,82697,100689,DebtCon,ProfEx,3,0,0,133.37,0,26,33.592,,B
0,9900,47865,88105,HomeImp,Other,18,0,0,203.02,0,17,34.553,3,B
0,9900,84920,201713,HomeImp,Self,13,0,0,3.04,,8,21.058,3,A
0,9900,54961,70609,DebtCon,Mgr,6,,4,105.93,2,11,40.703,2,C
0,9900,26427,87134,HomeImp,ProfEx,20,0,0,244.37,0,11,25.004,3,B
1,9900,23767,39293,DebtCon,Other,5,1,0,145.77,0,9,24.605,2,B
0,9900,31244,44138,HomeImp,Mgr,14,0,0,60.63,1,9,31.688,3,B
0,9900,55342,72357,DebtCon,Mgr,7,,3,112,1,11,39.87,2,C
1,9900,59206,75690,HomeImp,Office,6,0,2,288.4,1,19,30.776,2,B
0,9900,83821,124527,HomeImp,Office,30,0,0,319.65,1,37,35.769,3,C
0,10000,63218,76500,DebtCon,Office,5,2,3,183.67,3,30,44,2,M
1,10000,48300,74600,,Other,14,0,1,179.1,2,31,44,3,M
1,10000,34350,54146,DebtCon,Other,3,0,0,144.42,0,18,31.539,,B
0,10000,75976,91000,DebtCon,Other,10.5,0,0,171.47,5,22,44,3,M
0,10000,68807,76581,HomeImp,Office,14,0,0,237.65,0,32,42.336,3,D
0,10000,,56475,HomeImp,Other,9,2,0,309.26,2,12,34.487,3,B
0,10000,84580,118924,HomeImp,Office,31,0,0,341.94,2,37,35.249,3,C
0,10000,,49266,,,,,,,,,15.597,1,A
0,10000,59828,72489,DebtCon,,18,0,0,157.24,1,11,31.627,3,B
1,10000,22000,41250,HomeImp,Mgr,5,0,0,97.97,0,21,44,2,M
1,10000,86000,111000,DebtCon,Other,6.5,0,1,91.97,3,17,44,2,M
1,10000,26197,46600,HomeImp,ProfEx,9,0,0,165.97,2,9,44,3,M
1,10000,,25010,HomeImp,Self,5,0,3,326.13,4,17,44,2,M
1,10000,20500,54600,HomeImp,Self,15,0,0,160.33,2,11,44,3,M
1,10000,,,HomeImp,Other,,,,,,,44,1,M
1,10000,186000,225750,HomeImp,ProfEx,2,0,0,75.87,,5,44,1,M
1,10000,28000,73250,HomeImp,Other,2,0,0,28.97,4,12,44,1,M
1,10000,57238,101500,DebtCon,ProfEx,10,0,0,106.83,0,36,44,3,M
1,10000,31253,65450,DebtCon,Other,21,0,0,172.03,0,16,44,3,M
1,10000,27000,54300,HomeImp,Other,0.3,0,1,91.13,0,6,44,1,M
1,10000,53297,74925,HomeImp,Other,14,0,1,88.53,2,15,44,3,M
0,10000,7718,77750,DebtCon,Other,8,0,0,261.8,0,14,44,3,M
0,10000,63005,78500,DebtCon,Other,3,,,171.77,,35,44,,M
0,10000,87579,105000,DebtCon,Other,13,0,0,209.97,3,16,44,3,M
0,10000,,42497,HomeImp,Mgr,6,,,165.43,,9,44,2,M
0,10000,32000,59000,DebtCon,Office,24,0,1,232.33,1,29,44,3,M
0,10000,31000,58240,DebtCon,Mgr,,,,,,,44,1,M
0,10000,71000,97875,HomeImp,ProfEx,8,0,0,165.71,0,34,44,3,M
0,10000,66000,89145,DebtCon,Office,9,0,0,215.03,3,29,44,3,M
0,10000,59764,77870,DebtCon,Sales,7,0,0,136.9,0,35,44,2,M
0,10000,124000,192000,HomeImp,Office,0,0,1,346.97,0,16,44,1,M
0,10000,80000,107900,HomeImp,ProfEx,12,0,2,176.53,0,28,44,3,M
0,10000,34767,51000,HomeImp,Other,23,0,1,121.73,0,23,44,3,M
0,10000,,23400,HomeImp,,28,0,0,206.97,1,5,44,3,M
0,10000,57068,72000,,Other,12,0,0,257.7,0,27,44,3,M
0,10000,22068,49600,HomeImp,Other,0.9,0,0,247.57,0,11,44,1,M
0,10000,131589,156000,HomeImp,ProfEx,5,0,1,419.03,1,43,44,2,M
0,10000,147234,175300,HomeImp,Office,6,0,0,192.77,1,56,44,2,M
0,10000,48041,76050,HomeImp,Other,3,0,2,185.7,0,13,44,,M
0,10000,78000,97400,HomeImp,ProfEx,1,0,0,72.03,1,20,44,1,M
0,10000,64320,102375,DebtCon,Office,10,0,0,148.17,1,13,44,3,M
0,10000,96000,112200,,Office,16,1,0,258.73,0,16,44,3,M
0,10000,88777.5,112014,DebtCon,ProfEx,13,0,0,182.63,2,18,44,3,M
0,10000,10000,68250,DebtCon,ProfEx,20,0,2,398.8,1,12,44,3,M
1,10000,42300,,DebtCon,Mgr,11,1,0,31.4,3,5,44,3,M
1,10000,5200,53095,HomeImp,Other,5,3,3,234.33,3,17,44,2,M
1,10000,19225.53,35500,HomeImp,Office,5,0,2,186,1,10,44,2,M
1,10000,62000,80000,DebtCon,Other,5,,1,97.4,4,30,44,2,M
1,10000,41741,56000,DebtCon,Office,3,0,0,20.23,2,6,44,,M
1,10000,46946,65000,HomeImp,Office,7.2,0,1,80.1,1,12,44,3,M
1,10000,75000,103600,HomeImp,Mgr,17.6,0,0,171.43,0,24,44,3,M
1,10000,59929,,DebtCon,Other,5,,,,,,44,2,M
1,10000,99600,125500,DebtCon,Office,8,0,0,80.1,3,21,44,3,M
1,10000,122800,151500,HomeImp,ProfEx,2,0,0,205.97,1,23,44,1,M
1,10000,49000,70000,HomeImp,Other,,0,3,190.73,1,12,44,1,M
1,10000,48840,58740,HomeImp,Other,15,2,2,194.8,0,39,44,3,M
1,10000,13161,37700,DebtCon,Other,,3,0,79.1,2,9,44,1,M
1,10000,84000,132965,DebtCon,Sales,30,0,0,325.63,1,24,44,3,M
1,10000,42321,53800,DebtCon,Other,4,0,0,275.9,0,19,44,2,M
1,10000,65000,80000,DebtCon,Other,2,0,0,26.37,3,2,44,1,M
1,10000,76700,97800,DebtCon,Other,25,,10,205.23,3,26,44,3,M
1,10000,59543,86800,DebtCon,Other,9,3,1,152.13,2,51,44,3,M
1,10000,52410,54500,,Mgr,1,9,4,132.9,4,29,44,1,M
1,10000,50070,60670,HomeImp,Other,5,2,0,15.23,0,1,44,2,M
1,10000,16288,48600,DebtCon,Other,24,0,0,268.83,1,16,44,3,M
1,10000,69727,90312,HomeImp,Office,4.5,5,1,122.83,,17,44,2,M
1,10000,,65088,HomeImp,Mgr,3.5,4,5,205.07,2,39,44,2,M
1,10000,,79500,DebtCon,ProfEx,19,0,0,285.1,2,7,44,3,M
1,10000,,,,Other,15,2,2,108.93,3,31,44,3,M
1,10000,91000,110000,DebtCon,Other,16,1,3,123.77,2,22,44,3,M
1,10000,66399,78000,,ProfEx,0.9,0,0,112.6,0,15,44,1,M
1,10000,90700,123370,DebtCon,ProfEx,15,2,0,90.3,1,4,44,3,M
1,10000,34900,48000,HomeImp,Other,3,0,0,288.17,1,3,44,,M
0,10000,127319,194992,HomeImp,Office,1,0,1,337.69,0,16,41.448,1,D
0,10000,48769,65328,DebtCon,Office,4,0,1,104.7,3,12,39.049,2,C
0,10000,133879,157446,HomeImp,ProfEx,6,0,1,421.36,1,42,30.607,2,B
1,10000,36000,68800,DebtCon,Other,13,0,0,118.67,6,15,44,3,M
0,10000,64375,72418,DebtCon,ProfEx,14,0,0,207.62,3,31,38.868,3,C
0,10000,114643,130127,DebtCon,Self,5,0,1,160.67,0,19,33.92,2,B
0,10000,,69502,,,,,,,,,25.773,1,B
0,10000,41949,51684,DebtCon,Other,15,0,0,84.12,0,12,31.267,3,B
0,10100,114590,215784,HomeImp,ProfEx,2,0,0,123.17,0,14,27.845,1,B
0,10100,45493,54605,HomeImp,Mgr,21,0,1,234.59,0,18,36.595,3,C
0,10100,87942,106000,DebtCon,Other,13,0,0,219.39,2,16,40.752,3,C
0,10100,32608,47377,HomeImp,Other,9,0,0,67.39,0,3,35.69,3,C
0,10100,66393,85605,DebtCon,Office,6,1,1,203.7,3,29,37.669,2,C
1,10100,,25300,DebtCon,Other,,1,0,122.3,1,5,44,1,M
0,10100,68240,84067,DebtCon,Sales,8,0,0,131.4,0,35,28.444,3,B
0,10100,81263,98536,DebtCon,Mgr,1,0,0,73.16,1,23,38.331,1,C
0,10100,137299,200339,DebtCon,ProfEx,0,0,0,66.36,2,23,35.238,1,C
0,10100,47426,68820,DebtCon,Other,16,0,4,220.76,0,36,24.02,3,B
0,10100,57881,69554,HomeImp,Other,29,0,3,189.92,1,24,34.61,3,B
1,10100,60200,74000,DebtCon,Other,4,,4,128.87,5,24,44,2,M
0,10100,68820,78830,DebtCon,Other,2,,,170.72,,34,29.207,1,B
0,10100,73174,91101,DebtCon,Office,14,0,0,77.12,0,8,25.043,3,B
0,10100,54873,73085,HomeImp,Other,5,0,1,252.25,1,16,38.727,2,C
0,10100,49683,55728,DebtCon,Other,0,0,0,91.1,0,20,37.133,1,C
0,10100,72136,89437,DebtCon,,5,0,0,205.74,0,15,30.799,2,B
0,10100,55559,89231,HomeImp,Other,16,1,0,175.56,0,29,26.9,3,B
0,10100,126358,180305,DebtCon,Other,8,0,0,199.35,1,20,32.034,3,B
0,10100,58446,71145,HomeImp,Other,4,0,1,244.62,1,15,38.117,2,C
0,10100,63283,82912,HomeImp,Other,0,0,0,99.82,1,7,38.371,1,C
0,10100,55738,73266,DebtCon,Office,5,0,0,85.64,1,14,24.534,2,B
0,10100,93085,110069,DebtCon,Other,13,0,0,206.8,3,16,40.57,3,C
0,10100,154005,175684,HomeImp,Office,4,0,0,189.37,0,56,33.971,2,B
0,10100,,69451,,,,,,,,,22.52,1,A
0,10200,44000,57000,DebtCon,Other,0,1,0,191.73,2,13,44,1,M
0,10200,9078,35261,,,,,,,,,33.666,1,B
0,10200,102281,114277,,Office,15,0,0,263.29,0,16,36.828,3,C
0,10200,70882,98154,DebtCon,Other,16,,,153.12,3,15,25.12,3,B
1,10200,69116,105228,HomeImp,ProfEx,12,0,8,122.84,0,36,36.123,3,C
0,10200,82630,99250,DebtCon,Other,1,0,0,107.53,1,32,40.281,1,C
0,10200,55539,65357,DebtCon,Mgr,5,0,0,190.95,1,17,28.641,2,B
0,10200,51108,68673,DebtCon,Mgr,6,,,116.68,,23,42.776,2,D
0,10200,59907,71580,DebtCon,ProfEx,14,0,0,237.95,2,32,36.401,3,C
0,10200,84196,91642,DebtCon,Other,1,0,0,104.84,1,32,38.376,1,C
1,10200,52310,74117,DebtCon,Other,13,0,3,118.7,2,23,44,3,M
0,10200,77571,102732,HomeImp,ProfEx,6,0,0,100.63,0,34,37.362,2,C
0,10200,60180,72370,DebtCon,Mgr,5,,,125.29,,23,42.505,2,D
0,10200,71111,80385,DebtCon,Office,4,1,2,170.28,2,29,38.623,2,C
0,10200,54900,79000,DebtCon,Office,14,0,0,113.63,0,24,44,3,M
0,10200,8907,59814,HomeImp,Other,7,2,0,364.43,1,22,16.064,2,A
0,10200,46140,56206,DebtCon,,8,1,0,115.78,1,25,22.314,3,A
1,10200,48670,90444,HomeImp,Other,,1,1,89.36,,7,39.151,1,C
0,10200,73157,83858,DebtCon,,3,0,0,193.51,0,16,29.088,,B
0,10200,78628,92090,DebtCon,Other,10,1,0,164.32,6,21,38.721,3,C
0,10200,38223,60728,DebtCon,Mgr,,,,,,,35.348,1,C
0,10200,61179,69591,DebtCon,,18,0,0,148.7,1,11,34.472,3,B
0,10200,34522,43076,HomeImp,Other,9,0,0,92.91,0,3,36.845,3,C
1,10200,29581,39992,DebtCon,Self,3,0,0,149.87,2,26,43.197,,E
0,10200,16322,86505,DebtCon,Other,8,0,0,259.16,0,14,21.253,3,A
0,10200,57142,72664,DebtCon,,19,0,0,158.19,1,12,32.497,3,B
0,10200,80969,100937,DebtCon,Other,9,0,0,168.75,4,21,39.698,3,C
0,10200,86400,113698,HomeImp,ProfEx,11,0,1,181.54,0,27,35.032,3,C
0,10200,65803,85155,HomeImp,Other,15,0,0,218.48,0,36,36.182,3,C
0,10200,79257,105912,HomeImp,ProfEx,3,0,0,95.36,0,33,39.391,,C
0,10200,,64377,HomeImp,Other,,0,0,347.25,0,6,37.775,1,C
0,10300,61000,75000,DebtCon,Office,12,0,0,251.53,4,37,44,3,M
1,10300,70147,122124,HomeImp,Other,1,0,0,58.9,0,7,57.995,1,E
0,10300,54925,84078,HomeImp,Other,2,0,1,189.7,0,13,29.134,1,B
0,10300,51787,86200,HomeImp,Other,17,0,0,203.73,0,16,34.435,3,B
0,10300,79243,89840,DebtCon,Office,16,0,0,87.83,0,9,24.479,3,B
0,10300,,69085,HomeImp,Other,,0,0,380.28,0,7,36.74,1,C
